Code,Year.index,SHMI.index,SHMI.before,Survey.index.observations,Engagement.index,Survey.before.observations,Engagement.before,Survey.after.observations,Engagement.after
R1H,2012,0.8242,0.804,320,3.833333333,NA,NA,5338,3.843333333
RA2,2012,0.9537,0.8873,348,3.82,NA,NA,335,3.92
RA3,2012,1.0296,1.0604,391,3.776666667,NA,NA,366,3.903333333
RA4,2012,0.9537,1.0563,372,3.876666667,NA,NA,405,3.883333333
RA7,2012,0.9173,0.9686,455,3.933333333,NA,NA,434,3.913333333
RA9,2012,0.9598,0.9603,472,3.773333333,NA,NA,494,3.883333333
RAE,2012,0.9781,0.9261,309,3.933333333,NA,NA,362,3.913333333
RAJ,2012,1.0049,1.0147,493,3.823333333,NA,NA,2381,3.806666667
RAL,2012,0.7844,0.7305,441,3.983333333,NA,NA,424,3.93
RAP,2012,0.7989,0.8127,383,3.856666667,NA,NA,898,3.973333333
RAS,2012,0.9063,0.9139,326,3.896666667,NA,NA,1157,3.95
RAX,2012,0.8978,0.8437,383,3.84,NA,NA,382,3.79
RBA,2012,0.9919,0.9378,434,3.84,NA,NA,439,3.866666667
RBD,2012,1.0479,1.0628,422,3.696666667,NA,NA,1445,3.826666667
RBK,2012,1.0714,1.126,449,3.776666667,NA,NA,424,3.806666667
RBL,2012,1.0905,1.0334,345,3.773333333,NA,NA,3158,3.793333333
RBN,2012,1.0224,1.0339,412,3.806666667,NA,NA,512,3.89
RBT,2012,1.164,1.1167,546,3.853333333,NA,NA,573,3.873333333
RBZ,2012,0.9346,0.9729,472,3.87,NA,NA,474,3.97
RC1,2012,1.0811,1.0268,422,3.983333333,NA,NA,354,3.896666667
RC3,2012,0.8485,0.9086,430,3.856666667,NA,NA,496,4.003333333
RC9,2012,1.0335,1.0832,378,3.97,NA,NA,436,4.043333333
RCB,2012,1.0416,1.1084,431,3.926666667,NA,NA,4227,3.81
RCD,2012,1.0088,0.9553,501,3.913333333,NA,NA,488,3.92
RCF,2012,0.9373,0.8998,341,3.79,NA,NA,1139,3.85
RCX,2012,0.9899,0.9966,441,3.963333333,NA,NA,367,3.963333333
RD1,2012,0.9748,0.9678,452,3.76,NA,NA,484,3.89
RD3,2012,0.9067,0.9015,426,3.766666667,NA,NA,514,3.94
RD7,2012,1.0278,0.9997,337,3.813333333,NA,NA,1545,3.886666667
RD8,2012,1.0893,0.9711,380,3.813333333,NA,NA,405,3.846666667
RDD,2012,1.1284,1.1286,285,3.76,NA,NA,1352,3.86
RDE,2012,1.1832,1.175,327,3.806666667,NA,NA,349,3.816666667
RDU,2012,0.904,0.8733,485,3.96,NA,NA,378,3.936666667
RDZ,2012,1.0218,1.0179,472,3.93,NA,NA,462,3.9
RE9,2012,1.0925,1.0893,377,3.833333333,NA,NA,1429,3.803333333
REF,2012,1.0253,1.0335,396,3.61,NA,NA,2525,3.666666667
REM,2012,1.1666,1.157,371,3.73,NA,NA,413,3.816666667
RF4,2012,0.9664,0.9596,326,3.833333333,NA,NA,1715,3.92
RFF,2012,1.0562,1.0792,508,3.74,NA,NA,511,3.786666667
RFR,2012,1.0987,1.0353,262,3.703333333,NA,NA,343,3.67
RFS,2012,1.0606,1.0594,390,3.816666667,NA,NA,376,3.84
RFW,2012,0.9606,0.9349,321,3.836666667,NA,NA,334,3.833333333
RGN,2012,1.023,1.013,428,3.843333333,NA,NA,406,3.923333333
RGP,2012,0.8523,0.8551,385,3.786666667,NA,NA,273,3.926666667
RGQ,2012,1.0327,1.0187,404,3.716666667,NA,NA,386,3.84
RGR,2012,0.8926,0.9078,427,3.963333333,NA,NA,451,3.91
RGT,2012,0.8505,0.8157,390,3.92,NA,NA,366,3.89
RH8,2012,0.9114,0.8663,402,3.75,NA,NA,384,3.78
RHM,2012,0.9517,0.9333,462,3.82,NA,NA,474,3.78
RHQ,2012,0.897,0.9234,412,3.663333333,NA,NA,438,3.696666667
RHU,2012,1.018,0.9896,458,3.763333333,NA,NA,3717,3.783333333
RHW,2012,1.0686,1.072,413,3.94,NA,NA,453,4.02
RJ1,2012,0.8038,0.8951,346,3.933333333,NA,NA,409,3.926666667
RJ2,2012,0.9274,0.9772,260,3.896666667,NA,NA,861,3.89
RJ6,2012,0.9446,1.0058,406,3.84,NA,NA,350,4.01
RJ7,2012,0.8119,0.7854,307,3.86,NA,NA,1519,3.786666667
RJC,2012,1.0323,1.0972,481,4.073333333,NA,NA,477,3.936666667
RJD,2012,0.9131,0.9311,465,3.766666667,NA,NA,398,3.84
RJE,2012,1.033,1.04,397,3.79,NA,NA,408,3.916666667
RJF,2012,1.0141,1.0595,382,3.816666667,NA,NA,523,3.853333333
RJL,2012,1.15,1.1637,241,3.806666667,NA,NA,303,3.816666667
RJN,2012,1.007,1.0176,352,3.856666667,NA,NA,337,3.836666667
RJR,2012,1.0975,1.0825,368,3.89,NA,NA,1794,3.94
RJZ,2012,0.9146,0.9111,403,3.99,NA,NA,331,4
RK5,2012,1.0965,1.0157,422,3.81,NA,NA,396,3.936666667
RK9,2012,0.9625,0.9174,374,3.66,NA,NA,379,3.793333333
RKB,2012,0.9962,1.0606,327,3.83,NA,NA,314,3.816666667
RKE,2012,0.7031,0.6901,245,3.873333333,NA,NA,276,3.853333333
RL4,2012,1.0231,1.0622,375,3.863333333,NA,NA,295,3.923333333
RLN,2012,0.9613,0.9433,364,3.86,NA,NA,380,3.86
RLQ,2012,1.1167,1.1595,352,3.846666667,NA,NA,379,3.906666667
RLT,2012,1.0939,1.2262,392,3.836666667,NA,NA,953,3.83
RM1,2012,1.0107,1.0095,560,3.826666667,NA,NA,530,3.81
RM2,2012,0.9913,0.9302,283,3.856666667,NA,NA,308,3.91
RM3,2012,0.9034,0.8684,489,4.03,NA,NA,467,4.02
RMC,2012,1.0147,1.067,457,3.893333333,NA,NA,429,3.86
RMP,2012,1.1488,1.1938,399,3.883333333,NA,NA,374,3.89
RN3,2012,0.9789,1.0448,509,3.933333333,NA,NA,549,3.96
