"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"R1F",2014,1.0212,1.099,0.9944,NA,NA,NA,NA,NA,NA,NA,NA
"R1F1",NA,NA,NA,NA,356,0.68,362,3.8,426,3.79666666666667,356,3.84333333333333
"R1H",2014,0.8452,0.793,0.9003,3431,0.68,3769,3.81,5338,3.84333333333333,4063,3.89666666666667
"R1K",2014,0.8802,NA,0.903,261,0.77,263,4.00666666666667,NA,NA,259,4.10666666666667
"RA2",2014,0.7997,0.911,0.8637,1250,0.7,1264,3.90333333333333,335,3.92,1392,3.98666666666667
"RA3",2014,1.0183,1.004,1.1674,388,0.73,394,3.81,366,3.90333333333333,357,3.97666666666667
"RA4",2014,1.0107,1.051,1.0184,1210,0.72,1219,3.84,405,3.88333333333333,1188,3.98666666666667
"RA7",2014,0.9781,0.951,0.9774,3565,0.7,3609,3.78333333333333,434,3.91333333333333,3586,3.86333333333333
"RA9",2014,0.9785,0.927,0.8219,431,0.63,433,3.91,494,3.88333333333333,2670,3.92
"RAE",2014,0.9684,1.014,0.9465,277,0.63,301,3.87,362,3.91333333333333,379,3.95666666666667
"RAJ",2014,1.0361,1.048,1.1516,1719,0.7,1720,3.71666666666667,2381,3.80666666666667,1815,3.84333333333333
"RAL",2014,0.8608,0.81,0.8852,3476,0.68,3719,3.86,424,3.93,3092,3.96333333333333
"RAP",2014,0.9546,0.812,0.9494,195,0.73,209,3.96666666666667,898,3.97333333333333,201,4.06
"RAS",2014,0.9197,0.859,0.8805,785,0.68,794,4.02666666666667,1157,3.95,932,4.05666666666667
"RAX",2014,0.8783,0.932,0.9263,343,0.74,349,3.78,382,3.79,1093,3.94
"RBA",2014,0.9674,0.959,1,237,0.65,238,3.83333333333333,439,3.86666666666667,367,4.02333333333333
"RBD",2014,1.079,1.122,1.1493,1342,0.7,1362,3.85,1445,3.82666666666667,1434,3.91
"RBK",2014,1.1032,0.971,1.046,351,0.68,352,3.76,424,3.80666666666667,1400,3.83
"RBL",2014,0.9661,1.038,0.9834,2392,0.69,2432,3.67666666666667,3158,3.79333333333333,499,4.00666666666667
"RBN",2014,1.0659,1.018,1.0338,423,0.64,425,3.91,512,3.89,439,4.02
"RBT",2014,0.9991,1.119,0.9684,534,0.69,539,3.89666666666667,573,3.87333333333333,496,4.01
"RBZ",2014,0.9331,0.91,1.0085,361,0.71,362,3.94,474,3.97,406,4.08
"RC1",2014,1.0353,1.071,0.9937,348,0.69,348,4.03333333333333,354,3.89666666666667,317,4.05
"RC3",NA,NA,0.813,NA,NA,NA,NA,NA,496,4.00333333333333,NA,NA
"RC9",2014,1.0206,1.005,1.1032,1174,0.71,1183,3.91333333333333,436,4.04333333333333,395,3.97666666666667
"RCB",2014,1.0116,0.976,0.9949,1945,0.66,1951,3.81666666666667,4227,3.81,3790,3.92333333333333
"RCD",2014,1.0132,0.95,0.9392,456,0.7,464,3.93666666666667,488,3.92,479,4.01666666666667
"RCF",2014,0.9393,0.891,0.9074,1019,0.68,1028,3.81,1139,3.85,998,3.92
"RCU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264,3.89666666666667
"RCX",2014,0.9291,1.028,0.9107,383,0.74,392,3.85333333333333,367,3.96333333333333,410,3.96333333333333
