"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"R0A",2017,0.9723,NA,0.9302,NA,NA,NA,NA,NA,NA,6963,3.94666666666667
"R1F",2017,1.1239,1.0466,1.0088,NA,NA,NA,NA,NA,NA,NA,NA
"R1F1",NA,NA,NA,NA,1068,0.61,1065,3.82,1146,3.82666666666667,885,3.81
"R1H",2017,0.9105,0.8821,0.8777,6513,0.71,6932,3.91333333333333,6538,3.96333333333333,7313,3.94666666666667
"R1K",2017,0.8263,0.8158,0.8294,3526,0.78,3715,4.03666666666667,2791,4.00333333333333,3403,4.01666666666667
"RA2",2017,0.8102,0.9121,0.7995,1484,0.67,1567,3.95333333333333,1230,3.94666666666667,1443,3.97333333333333
"RA3",2017,1.0219,1.1106,0.9023,722,0.71,722,3.86,567,3.89,620,3.81333333333333
"RA4",2017,0.9552,0.9958,1.0049,1282,0.66,1275,3.94333333333333,1365,3.95333333333333,1319,4.02
"RA7",2017,1.0168,0.9913,1.0504,3716,0.65,3692,3.88,3543,3.86333333333333,4720,3.90666666666667
"RA9",2017,0.9159,0.8312,0.9036,2047,0.62,2132,3.89,2690,3.93333333333333,2478,3.92333333333333
"RAE",2017,0.9305,0.9748,0.9086,2002,0.65,2002,3.96,453,3.93,2055,4
"RAJ",2017,1.1152,1.1743,1.1195,1735,0.69,1744,3.87333333333333,1697,3.88,2127,3.91
"RAL",2017,0.8646,0.9012,0.827,4094,0.7,4072,3.94666666666667,3688,3.96666666666667,3176,3.98
"RAP",2017,0.8558,0.8893,0.881,1144,0.76,1203,4.02,973,4.05,1201,4.02
"RAS",2017,0.9448,0.9313,0.9588,1488,0.69,1513,4.03333333333333,1400,4.07333333333333,1509,4.00333333333333
"RAX",2017,0.8574,0.8584,0.8193,1413,0.7,1515,3.97333333333333,1384,3.95666666666667,1702,3.93
"RBA",2017,0.8907,0.9844,0.9266,1696,0.68,1730,3.97,2063,3.95,1678,3.91666666666667
